game_id,game_provider_id,provider,name_en,site_cat,eff_weight,ov_weight,ov_featured,is_enabled,device,reason
294,20,EvolutionGaming,Dynasty Speed Baccarat 1,casino,9972,,,0,d/m,game_absent
404,22,Yggdrasil,Gods Gone Wild,slot,9972,,,1,d/m,game_absent
430,29,MicroGaming,Masters of Olympus,slot,9972,,,1,d/m,provider_absent
31,1012,TCGaming,Phu Yen,lottery,9972,,,1,"d,m",provider_absent
79,1016,AFBGaming,Gold Volcano 2,slot,9972,,,1,d/m,provider_absent
1,1021,OGLive,C1 baccarat,casino,9972,,,0,"d,m",provider_absent+no_php_usd
78,1026,Rich88,Fortune Tiger,slot,9972,,,1,"d,m",provider_absent
69,1032,RelaxGaming,Net Gains,slot,9972,,,1,"d,m",provider_absent
111,1033,KingMidas,Aztec Fortune,slot,9972,,,1,d/m,game_absent
79,1036,Live22,Wonders of Zeus,slot,9972,,,1,d/m,provider_absent
653,1042,KAGaming,Crazy Party,fishing,9972,,,1,d/m,game_absent
5,1045,MikiWorld,LiveDragonTiger,casino,9972,,,0,"d,m",provider_absent
81,1047,GamePlaySlot,Fortune Hong Bao,slot,9972,,,1,"d,m",provider_absent
19,1048,GamePlayLiveCasino,Thai Hi-Lo,perya,9972,,,1,"d,m",provider_absent
75,1050,BoleGaming,Knife Out,other,9972,,,1,d/m,provider_absent
10,1054,LambdaGaming,Boombay,slot,9972,,,0,d/m,provider_absent
19,1056,Phoenix7,IZAKAYA,slot,9972,,,1,d/m,provider_absent
98,1057,CC88,Scarab,slot,9972,,,1,d/m,provider_absent
85,1059,ClotPlay,Happy Prosperous PLUS,slot,9972,,,1,d/m,provider_absent
15,1060,PegasusSlot,DragonTreasure,slot,9972,,,1,"d,m",provider_absent
103,1062,DragoonSoft,Volcanic Legend,slot,9972,,,1,d/m,provider_absent
22,1064,ViaCasino,Rocket HiLo ??Baccarat,perya,9972,,,1,d/m,provider_absent
59,1065,NagaGames,Mayan Gold Hunt,slot,9972,,,1,d/m,provider_absent
21,1066,Nextspin,Shake Thai Thai,slot,9972,,,1,"d,m",provider_absent
52,1068,TomHorn,Savannah King,slot,9972,,,1,"d,m",provider_absent
5,1075,PoggiPlay,Scooter Biker,slot,9972,,,1,"d,m",provider_absent
58,1079,Fastspin,Blade of Fortune,slot,9972,,,1,d/m,provider_absent
57,1081,Apollo,888 Dragons,slot,9972,,,1,"d,m",provider_absent
49,1082,Vgaming,Se Die 3X,casino,9972,,,1,"d,m",provider_absent
1,1084,SPlus,Deep Sea Adventure,slot,9972,,,1,"d,m",provider_absent
12,1088,Ezugi,ThreeCardPoker(NJ)/TeenPatti,poker,9972,,,1,d/m,provider_absent
28,1089,RoyalSlotGaming,Dragon King,slot,9972,,,1,"d,m",provider_absent
20,1091,IDNSlot,Lion Dance 888,slot,9972,,,1,d/m,provider_absent
27,1092,IDNLive,Dice 6,casino,9972,,,1,d/m,provider_absent
162,1102,BNG,3 Hungry Pandas Hold and Win,slot,9972,,,1,d/m,game_absent
38,5,BigGaming,Speed Baccarat B19,casino,9971,,,1,d/m,provider_absent
28,7,SexyGaming,SexyBaccaratC05,casino,9971,,,1,d/m,provider_absent
201,10,JokerGaming,Forest Treasure,slot,9971,,,1,d/m,provider_absent
481,13,WorldMatch,Book of Pharaon,slot,9971,,,1,d/m,provider_absent
72,14,SBOSlot,5�Dealers,slot,9971,,,1,d/m,provider_absent+no_php_usd
296,16,FunkyGames,Aloha! Fruityways (Megaways),other,9971,,,1,d/m,game_absent
530,22,Yggdrasil,10000X Gold 2,slot,9971,,,1,d/m,game_absent
550,29,MicroGaming,Money On Reels,slot,9971,,,1,d/m,provider_absent
32,1012,TCGaming,Quang Binh,lottery,9971,,,1,"d,m",provider_absent
151,1016,AFBGaming,King Arthur's Excalibur,slot,9971,,,1,d/m,provider_absent
2,1021,OGLive,C2 baccarat,casino,9971,,,0,"d,m",provider_absent+no_php_usd
67,1026,Rich88,Jump High,slot,9971,,,1,"d,m",provider_absent
155,1032,RelaxGaming,Phantom Pulse,slot,9971,,,1,d/m,provider_absent
87,1036,Live22,Great Wall of Meta Dragon,slot,9971,,,1,d/m,provider_absent
800,1042,KAGaming,Savanna Song,slot,9971,,,1,d/m,game_absent
6,1045,MikiWorld,LiveBaccarat,casino,9971,,,0,"d,m",provider_absent
97,1047,GamePlaySlot,Bai Ye Xing Fu,slot,9971,,,1,"d,m",provider_absent
20,1048,GamePlayLiveCasino,Xoc Dia,casino,9971,,,1,"d,m",provider_absent
76,1050,BoleGaming,Bunny Planet,other,9971,,,1,d/m,provider_absent
11,1054,LambdaGaming,8Bit Xmass Plinko,perya,9971,,,0,d/m,provider_absent
3,1056,Phoenix7,METEOR OF CHAOS,slot,9971,,,1,"d,m",provider_absent
90,1057,CC88,Lost City Of Gold,slot,9971,,,1,d/m,provider_absent
80,1059,ClotPlay,3 Kingdoms of Fortune,slot,9971,,,1,d/m,provider_absent
112,1060,PegasusSlot,CaiShenBaoXi,slot,9971,,,1,d/m,provider_absent
75,1062,DragoonSoft,Dragonburst,slot,9971,,,1,"d,m",provider_absent
23,1064,ViaCasino,Lotto Lucky Wheel,poker,9971,,,1,d/m,provider_absent
32,1066,Nextspin,Golden West,slot,9971,,,1,"d,m",provider_absent
7,1068,TomHorn,81 Crystal Fruits,slot,9971,,,1,"d,m",provider_absent
11,1075,PoggiPlay,Fire Sloth,slot,9971,,,1,"d,m",provider_absent
9,1079,Fastspin,Money Empire,slot,9971,,,1,"d,m",provider_absent
18,1081,Apollo,Lotto madness,slot,9971,,,1,"d,m",provider_absent
14,1082,Vgaming,Three Cards,casino,9971,,,1,"d,m",provider_absent
4,1084,SPlus,Cleopatra,slot,9971,,,1,"d,m",provider_absent
13,1088,Ezugi,32 Cards,other,9971,,,0,d/m,provider_absent
2,1089,RoyalSlotGaming,Gold Chicken,slot,9971,,,1,"d,m",provider_absent
21,1091,IDNSlot,Lucky Girl,slot,9971,,,1,d/m,provider_absent
28,1092,IDNLive,Dice 6 Fever,casino,9971,,,1,d/m,provider_absent
39,5,BigGaming,Mi Card Baccarat B01,casino,9970,,,1,d/m,provider_absent
29,7,SexyGaming,SexyBaccaratC06,casino,9970,,,1,d/m,provider_absent
225,10,JokerGaming,Bounty Hunter,slot,9970,,,1,d/m,provider_absent
612,13,WorldMatch,Circus Evolution,slot,9970,,,1,d/m,provider_absent
59,14,SBOSlot,Wu�Lu�Cai�Shen,slot,9970,,,1,d/m,provider_absent+no_php_usd
302,16,FunkyGames,Three Brave Piggies,slot,9970,,,1,d/m,game_absent
