game_id,game_provider_id,provider,name_en,site_cat,eff_weight,ov_weight,ov_featured,is_enabled,device,reason
17,1065,,Sexy Christmas Sirens,slot,9981,,,1,d/m,厂商名脏数据()
28,1078,,Piggy Money,slot,9981,,,1,"d,m",厂商名脏数据()
18,1080,LuckySports,Handball,sports,9981,,,1,"d,m","special:体育类,人工确认"
33,1083,,Pirates Power,slot,9981,,,1,"d,m",厂商名脏数据()
25,1085,,Wild Legends,slot,9981,,,1,"d,m",厂商名脏数据()
9,1099,0,Christmax New Year Bumper,lottery,9981,,,0,"d,m",厂商名脏数据(0)
8,1065,,Stallion Princess,slot,9980,,,1,d/m,厂商名脏数据()
30,1078,,Buffalo Freedom,slot,9980,,,1,"d,m",厂商名脏数据()
19,1080,LuckySports,Ice Hockey,sports,9980,,,1,"d,m","special:体育类,人工确认"
20,1083,,Forest Rock,slot,9980,,,1,"d,m",厂商名脏数据()
5,1085,,Dragon Treasure 4,slot,9980,,,1,"d,m",厂商名脏数据()
10,1099,0,Summer Bumper,lottery,9980,,,0,"d,m",厂商名脏数据(0)
18,1065,,Bikini Babes,slot,9979,,,1,d/m,厂商名脏数据()
22,1078,,Golden Fish,slot,9979,,,1,"d,m",厂商名脏数据()
20,1080,LuckySports,Kabaddi,sports,9979,,,1,"d,m","special:体育类,人工确认"
12,1085,,Wild Fortune 2,slot,9979,,,1,"d,m",厂商名脏数据()
11,1099,0,Vishu Bumper,lottery,9979,,,0,"d,m",厂商名脏数据(0)
21,1080,LuckySports,Mma,sports,9978,,,1,"d,m","special:体育类,人工确认"
1,1083,,Titan roulette,casino,9978,,,0,"d,m",厂商名脏数据()
54,1085,,Mahjong Saga,slot,9978,,,1,d/m,厂商名脏数据()
12,1099,0,Monsoon Bumper,lottery,9978,,,0,"d,m",厂商名脏数据(0)
34,1065,,Pawsome Xmas,slot,9977,,,1,d/m,厂商名脏数据()
10,1078,,Three Little Pigs,slot,9977,,,1,"d,m",厂商名脏数据()
22,1080,LuckySports,Motorcycle Racing,sports,9977,,,1,"d,m","special:体育类,人工确认"
2,1083,,Evoji,other,9977,,,0,"d,m",厂商名脏数据()
33,1085,,Emperor Qin Shi Huang PLUS,slot,9977,,,1,"d,m",厂商名脏数据()
13,1099,0,Thiruvonam Bumper,lottery,9977,,,0,"d,m",厂商名脏数据(0)
1,1065,,God Of Fortune,slot,9976,,,1,d/m,厂商名脏数据()
19,1078,,Green Hat Fairy,slot,9976,,,1,"d,m",厂商名脏数据()
23,1080,LuckySports,Rugby,sports,9976,,,1,"d,m","special:体育类,人工确认"
3,1083,,Swipe,other,9976,,,0,"d,m",厂商名脏数据()
20,1085,,Golden Maitreya,slot,9976,,,1,"d,m",厂商名脏数据()
14,1099,0,Pooja Bumper,lottery,9976,,,0,"d,m",厂商名脏数据(0)
31,1065,,Gladiators,slot,9975,,,1,d/m,厂商名脏数据()
3,1078,,Killer Whale,slot,9975,,,1,"d,m",厂商名脏数据()
24,1080,LuckySports,Snooker,sports,9975,,,1,"d,m","special:体育类,人工确认"
4,1083,,Titan Dice,casino,9975,,,0,"d,m",厂商名脏数据()
17,1085,,Three Star Fortune,slot,9975,,,1,"d,m",厂商名脏数据()
15,1099,0,1.5Min Car Race,lottery,9975,,,1,"d,m",厂商名脏数据(0)
35,1065,,Dragon Wonder,slot,9974,,,1,d/m,厂商名脏数据()
27,1078,,Burning Seven,slot,9974,,,1,"d,m",厂商名脏数据()
25,1080,LuckySports,Squash,sports,9974,,,1,"d,m","special:体育类,人工确认"
5,1083,,Gem Miner,other,9974,,,0,"d,m",厂商名脏数据()
1,1085,,Inca Zuma,slot,9974,,,1,"d,m",厂商名脏数据()
17,1099,0,WinGo 3mins,lottery,9974,,,1,"d,m",厂商名脏数据(0)
19,1065,,Spring Harvest,slot,9973,,,1,d/m,厂商名脏数据()
14,1078,,Golden Agent,slot,9973,,,1,"d,m",厂商名脏数据()
26,1080,LuckySports,Table Tennis,sports,9973,,0,1,"d,m","special:体育类,人工确认"
6,1083,,Joker Poker,poker,9973,,,0,"d,m",厂商名脏数据()
35,1085,,Lion Dance,slot,9973,,,1,"d,m",厂商名脏数据()
23,1098,,Amethyst Xoc Dia,casino,9973,,,0,d/m,厂商名脏数据()
18,1099,0,Dear Nagaland Lottery 1PM,lottery,9973,,,1,"d,m",厂商名脏数据(0)
12,1078,,Child of Success,slot,9972,,,1,"d,m",厂商名脏数据()
27,1080,LuckySports,Volleyball,sports,9972,,0,1,"d,m","special:体育类,人工确认"
7,1083,,Pixel Poker,poker,9972,,,0,"d,m",厂商名脏数据()
26,1085,,Rich roll in,slot,9972,,,1,"d,m",厂商名脏数据()
24,1098,,Amethyst Bull Bull,casino,9972,,,0,d/m,厂商名脏数据()
19,1099,0,Dear Sikkim Lottery 6PM,lottery,9972,,,1,"d,m",厂商名脏数据(0)
9,1065,,Gates Of Kunlun,slot,9971,,,1,d/m,厂商名脏数据()
31,1078,,Medusa Queen,slot,9971,,,1,"d,m",厂商名脏数据()
28,1080,LuckySports,American Football,sports,9971,,,1,"d,m","special:体育类,人工确认"
8,1083,,Crazy Horses,other,9971,,,0,"d,m",厂商名脏数据()
16,1085,,Chili King,slot,9971,,,1,"d,m",厂商名脏数据()
20,1099,0,Dear Nagaland Lottery 8PM,lottery,9971,,,1,"d,m",厂商名脏数据(0)
37,1065,,Viking Valor,slot,9970,,,1,"d,m",厂商名脏数据()
9,1083,,Casino Heist,slot,9970,,,1,"d,m",厂商名脏数据()
50,1085,,Mahjong Self-Drawn Win 4,slot,9970,,,1,d/m,厂商名脏数据()
21,1099,0,Dear Lottery Online Only 1PM,lottery,9970,,,1,"d,m",厂商名脏数据(0)
11,1083,,Clown Fever ,other,9969,,,0,"d,m",厂商名脏数据()
21,1085,,The Hand of Midas,slot,9969,,,1,"d,m",厂商名脏数据()
22,1099,0,Dear Lottery Online Only 6PM,lottery,9969,,,1,"d,m",厂商名脏数据(0)
20,1078,,Shoot the Cannon,slot,9968,,,1,"d,m",厂商名脏数据()
13,1083,,Fairy in Wonderland,slot,9968,,,1,"d,m",厂商名脏数据()
23,1099,0,Dear Lottery Online Only 8PM,lottery,9968,,,1,"d,m",厂商名脏数据(0)
25,1078,,King's Knight,slot,9967,,,1,"d,m",厂商名脏数据()
14,1083,,Hi - Lo,casino,9967,,,0,"d,m",厂商名脏数据()
36,1085,,Golden Farm,slot,9967,,,1,"d,m",厂商名脏数据()
24,1099,0,BSE SENSEX Matka,lottery,9967,,,1,"d,m",厂商名脏数据(0)
36,1078,,Cleopatra Tumble,slot,9966,,,1,"d,m",厂商名脏数据()
16,1083,,Maya's treasure,slot,9966,,,1,"d,m",厂商名脏数据()
27,1085,,Rocket God of Wealth,slot,9966,,,1,"d,m",厂商名脏数据()
25,1099,0,1Min Pune PICK3,lottery,9966,,,1,"d,m",厂商名脏数据(0)
4,1078,,Egyptian Beauty,slot,9965,,,1,"d,m",厂商名脏数据()
17,1083,,Sic Bo,casino,9965,,,0,"d,m",厂商名脏数据()
26,1099,0,1Min Kolkata PICK3,lottery,9965,,,0,"d,m",厂商名脏数据(0)
40,1078,,Lady of the Generals,slot,9964,,,1,"d,m",厂商名脏数据()
19,1083,,Multihand Titan Poker,poker,9964,,,0,"d,m",厂商名脏数据()
19,1085,,Legend of Phoenix,slot,9964,,,1,"d,m",厂商名脏数据()
27,1099,0,1Min Mumbai PICK3,lottery,9964,,,0,"d,m",厂商名脏数据(0)
10,1065,,SanGuo - The Brotherhood,slot,9963,,,1,d/m,厂商名脏数据()
33,1078,,Cabaret Cash,slot,9963,,,1,"d,m",厂商名脏数据()
21,1083,,Lucky Betting Shop,slot,9963,,,1,"d,m",厂商名脏数据()
31,1085,,Maya Empire,slot,9963,,,1,"d,m",厂商名脏数据()
28,1099,0,3Min Pune PICK3,lottery,9963,,,1,"d,m",厂商名脏数据(0)
22,1065,,Aphrodite - Goddess of Love,slot,9962,,,1,d/m,厂商名脏数据()
23,1078,,Samba Trio,slot,9962,,,1,"d,m",厂商名脏数据()
22,1083,,Instant Keno,other,9962,,,0,"d,m",厂商名脏数据()
47,1085,,Roman Gladiator,slot,9962,,,1,d/m,厂商名脏数据()
29,1099,0,3Min Kolkata PICK3,lottery,9962,,,0,"d,m",厂商名脏数据(0)
13,1078,,Child of Fortune,slot,9961,,,1,"d,m",厂商名脏数据()
23,1083,,Odd One Out,slot,9961,,,1,"d,m",厂商名脏数据()
46,1085,,Lucky Gold Rush,slot,9961,,,1,d/m,厂商名脏数据()
30,1099,0,3Min Mumbai PICK3,lottery,9961,,,0,"d,m",厂商名脏数据(0)
11,1078,,WILD Kelly,slot,9960,,,1,"d,m",厂商名脏数据()
24,1083,,Bounty Hunters,slot,9960,,,1,"d,m",厂商名脏数据()
11,1085,,Dragon's Treasure 3 M,slot,9960,,,1,"d,m",厂商名脏数据()
31,1099,0,1Min Chennai PICK4,lottery,9960,,,1,"d,m",厂商名脏数据(0)
28,1065,,Samba Fiesta,slot,9959,,,1,d/m,厂商名脏数据()
6,1078,,Dancing Ladybug,slot,9959,,,1,"d,m",厂商名脏数据()
25,1083,,Mini Power roulette,casino,9959,,,0,"d,m",厂商名脏数据()
53,1085,,Pi�ata,slot,9959,,,1,d/m,厂商名脏数据()
32,1099,0,1Min Delhi PICK4,lottery,9959,,,0,"d,m",厂商名脏数据(0)
41,1065,,Muay Thai Arena,slot,9958,,,1,"d,m",厂商名脏数据()
5,1078,,Kitty in the Basket,slot,9958,,,1,"d,m",厂商名脏数据()
26,1083,,Titan roulette deluxe,casino,9958,,,0,"d,m",厂商名脏数据()
51,1085,,Forgefire God,slot,9958,,,1,d/m,厂商名脏数据()
33,1099,0,1Min Bangalore PICK4,lottery,9958,,,0,"d,m",厂商名脏数据(0)
25,1065,,Mochi Mochi,slot,9957,,,1,d/m,厂商名脏数据()
27,1083,,Battle for the throne,slot,9957,,,1,"d,m",厂商名脏数据()
34,1099,0,3Min Chennai PICK4,lottery,9957,,,1,"d,m",厂商名脏数据(0)
23,1065,,Chasing Leprechaun Coins,slot,9956,,,1,d/m,厂商名脏数据()
24,1078,,Jungle King,slot,9956,,,1,"d,m",厂商名脏数据()
28,1083,,Book of Eskimo,slot,9956,,,1,"d,m",厂商名脏数据()
39,1085,,Kingdom of Fire Dragon,slot,9956,,,1,"d,m",厂商名脏数据()
35,1099,0,3Min Delhi PICK4,lottery,9956,,,0,"d,m",厂商名脏数据(0)
26,1078,,Giant's Lamp,slot,9955,,,1,"d,m",厂商名脏数据()
29,1083,,Clown Fever Deluxe,other,9955,,,0,"d,m",厂商名脏数据()
38,1085,,Capybara Bar,slot,9955,,,1,"d,m",厂商名脏数据()
36,1099,0,3Min Bangalore PICK4,lottery,9955,,,0,"d,m",厂商名脏数据(0)
13,1065,,Mysteries of Pandora,slot,9954,,,1,d/m,厂商名脏数据()
37,1078,,Jelly Jelly,slot,9954,,,1,"d,m",厂商名脏数据()
30,1083,,Wild Icy Fruits,slot,9954,,,1,"d,m",厂商名脏数据()
14,1085,,Wild Fortune,slot,9954,,,1,"d,m",厂商名脏数据()
37,1099,0,1Min Surat PICK5,lottery,9954,,,1,"d,m",厂商名脏数据(0)
33,1065,,Bierfest Delight,slot,9953,,,1,"d,m",厂商名脏数据()
38,1078,,Clash of slots,slot,9953,,,1,"d,m",厂商名脏数据()
32,1083,,Capital City Derby,slot,9953,,,1,"d,m",厂商名脏数据()
40,1085,,Toucan,slot,9953,,,1,"d,m",厂商名脏数据()
38,1099,0,1Min Kanpur PICK5,lottery,9953,,,0,"d,m",厂商名脏数据(0)
29,1065,,Empress of the Black Seas,slot,9952,,,1,d/m,厂商名脏数据()
15,1078,,Dragon Queen,slot,9952,,,1,"d,m",厂商名脏数据()
35,1083,,Magic Wheel,other,9952,,,0,"d,m",厂商名脏数据()
13,1085,,Dragon's Treasure 3,slot,9952,,,1,"d,m",厂商名脏数据()
46,1088,,Bet with Streamers,casino,9952,,,1,d/m,厂商名脏数据()
39,1099,0,1Min Hyderabad PICK5,lottery,9952,,,0,"d,m",厂商名脏数据(0)
36,1083,,Planets Power,slot,9951,,,1,"d,m",厂商名脏数据()
37,1085,,open sesame,slot,9951,,,1,"d,m",厂商名脏数据()
