id,gameId,name,platformName,gameType,imageUrl,localImage
"14303","vs20wraanu","Fury Of Anubis","PP","5","https://pub.imgscache.com/compic/e1e34831-06c3-4a10-8f6c-cfe35f140d3e.webp","images/PP__Fury_Of_Anubis__14303.webp"
"14206","vs50grghsts ","Great Ghosts! ","PP","5","https://pub.imgscache.com/compic/fec66e98-1642-4675-bbf9-50b411b89c2c.webp","images/PP__Great_Ghosts__14206.webp"
"14270","3brgl;brag_3cardbrag","Live 3 Card Brag","PT","17","https://pub.imgscache.com/compic/fa0cff3a-597f-49b5-a95c-fd2dcda26f3c.webp","images/PT__Live_3_Card_Brag__14270.webp"
"14264","bjl;bjl_persoireebj2","Blackjack Soirée Gold 2","PT","17","https://pub.imgscache.com/compic/5c1a3de6-deeb-4ab1-ad0c-d214bf9529e6.webp","images/PT__Blackjack_Soir_e_Gold_2__14264.webp"
"14265","bjl;bjl_persoireebj3","Blackjack Soirée Gold 3","PT","17","https://pub.imgscache.com/compic/8808c457-aaa2-4360-9964-02f074b04214.webp","images/PT__Blackjack_Soir_e_Gold_3__14265.webp"
"14266","bjl;bjl_persoireebj4","Blackjack Soirée Gold 4","PT","17","https://pub.imgscache.com/compic/f52de89d-6f4b-433d-8664-d3fe690a8c0e.webp","images/PT__Blackjack_Soir_e_Gold_4__14266.webp"
"14276","bjl;bjl_royale2","Royale Blackjack 2","PT","17","https://pub.imgscache.com/compic/5abf560e-a558-454c-84c2-0684a52f1752.webp","images/PT__Royale_Blackjack_2__14276.webp"
"14278","bjl;bjl_royale4","Royale Blackjack 4","PT","17","https://pub.imgscache.com/compic/97341c90-8603-4184-b018-2c38fd53dcd8.webp","images/PT__Royale_Blackjack_4__14278.webp"
"14277","bjl;bjl_royalebj3","Royale Blackjack 3","PT","17","https://pub.imgscache.com/compic/0a074abb-9977-4306-a718-cc9dcee4c189.webp","images/PT__Royale_Blackjack_3__14277.webp"
"14261","bjl;bjl_soireebj2","Blackjack Soirée 2","PT","17","https://pub.imgscache.com/compic/c2cfac1a-1932-45bb-857c-fcbf723690b1.webp","images/PT__Blackjack_Soir_e_2__14261.webp"
"14262","bjl;bjl_soireebj3","Blackjack Soirée 3","PT","17","https://pub.imgscache.com/compic/b49719c8-22e6-4d63-834d-fa6fbf034f27.webp","images/PT__Blackjack_Soir_e_3__14262.webp"
