id,name,provider,rank,categories,imageUrl,localImage
"97","Lucky Fortunes 3x3","FC","98","Slots","https://cp-images.casinoplus.live/images/cpms/fc/mobile/n22061.webp","images/FC__Lucky_Fortunes_3x3__97.webp"
"98","Book Of Monsters","PP","99","Slots","https://cp-images.casinoplus.live/images/cpms/pp/mobile/vs20fatbook.webp","images/PP__Book_Of_Monsters__98.webp"
"99","Bakunawa","","100","Slots","https://cp-images.casinoplus.live/images/cpms/26-05/3050_zhumeng005_h5_260519205725.webp","images/unknown__Bakunawa__99.webp"
"100","Asgardian Rising","","101","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3034_1340277_h5_260701210027.webp","images/unknown__Asgardian_Rising__100.webp"
"101","Star Fruits 777","","102","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3039_slot003_h5_260701202419.webp","images/unknown__Star_Fruits_777__101.webp"
"102","Bone Fortune","JILI","103","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/126.webp","images/JILI__Bone_Fortune__102.webp"
"103","Ibong Adarna","","104","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3050_zhumeng003_h5_260701193421.webp","images/unknown__Ibong_Adarna__103.webp"
"104","Boxing King","","105","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3039/slot005_v1.webp","images/unknown__Boxing_King__104.webp"
"105","Lucky Coming","JILI","106","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/91.webp","images/JILI__Lucky_Coming__105.webp"
"106","Pirate Queen","JILI","107","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/164.webp","images/JILI__Pirate_Queen__106.webp"
"107","60X Color Game","","108","","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/166/colorgameX60.webp","images/unknown__60X_Color_Game__107.webp"
"108","Zeus","JILI","109","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/252.webp","images/JILI__Zeus__108.webp"
"109","No Commission Baccarat","EGS","110","EVOCASHREBATE|Live","https://cp-images.casinoplus.live/images/cpms/egs/mobile/evo2.webp","images/EGS__No_Commission_Baccarat__109.webp"
"110","Min ₱100 Blackjack","","111","Live","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3007/min100.webp","images/unknown__Min_100_Blackjack__110.webp"
"111","Devil Fire 2","","112","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_258_h5_260701200325.webp","images/unknown__Devil_Fire_2__111.webp"
"112","Neko Fortune","JILI","113","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/145.webp","images/JILI__Neko_Fortune__112.webp"
"113","Tower","JILI","114","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/232.webp","images/JILI__Tower__113.webp"
"114","Super Ace Jackpot","JILI","115","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/471.webp","images/JILI__Super_Ace_Jackpot__114.webp"
"115","Crazy777","","116","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_35_h5_260701185251.webp","images/unknown__Crazy777__115.webp"
"116","Medusa","","117","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_101_h5_260701191729.webp","images/unknown__Medusa__116.webp"
"117","Fa Fa Fa","JILI","118","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/21.webp","images/JILI__Fa_Fa_Fa__117.webp"
"118","Bonus Hunter","JILI","119","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/142.webp","images/JILI__Bonus_Hunter__118.webp"
"119","Charge Buffalo","","120","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_47_h5_260701185713.webp","images/unknown__Charge_Buffalo__119.webp"
"120","Shanghai Beauty","JILI","121","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/17.webp","images/JILI__Shanghai_Beauty__120.webp"
"121","Mega Ace","","122","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_134_h5_260701192544.webp","images/unknown__Mega_Ace__121.webp"
"122","God Of Martial","JILI","123","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/431.webp","images/JILI__God_Of_Martial__122.webp"
"123","Sweet Land","JILI","124","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/198.webp","images/JILI__Sweet_Land__123.webp"
"124","Witches Night","JILI","125","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/226.webp","images/JILI__Witches_Night__124.webp"
"125","Super Ace Joker","","127","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_409_h5_260701201323.webp","images/unknown__Super_Ace_Joker__125.webp"
"126","Mega Fishing","JILI","128","Slots|Fishing","https://cp-images.casinoplus.live/images/cpms/jili/mobile/74.webp","images/JILI__Mega_Fishing__126.webp"
"127","Diwata-Mayari","","129","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3050_zhumeng006_h5_260701193706.webp","images/unknown__Diwata-Mayari__127.webp"
"128","Starlight Princess","PP","130","Slots","https://cp-images.casinoplus.live/images/cpms/pp/mobile/vs20starlight.webp","images/PP__Starlight_Princess__128.webp"
"129","Go Rush","JILI","131","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/224.webp","images/JILI__Go_Rush__129.webp"
"130","Starlight Christmas","PP","132","Slots","https://cp-images.casinoplus.live/images/cpms/pp/mobile/vs20schristmas.webp","images/PP__Starlight_Christmas__130.webp"
"131","Lucky Gold Bricks","","133","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_48_h5_260701185941.webp","images/unknown__Lucky_Gold_Bricks__131.webp"
"132","JILI Caishen","JILI","134","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/144.webp","images/JILI__JILI_Caishen__132.webp"
"133","Super Rich","JILI","135","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/100.webp","images/JILI__Super_Rich__133.webp"
"134","Forge Of Olympus","PP","136","Slots","https://cp-images.casinoplus.live/images/cpms/pp/mobile/vs20forge.webp","images/PP__Forge_Of_Olympus__134.webp"
"135","Fortune Tree","JILI","137","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/6.webp","images/JILI__Fortune_Tree__135.webp"
"136","Sugar Supreme Powernudge","PP","138","Slots","https://cp-images.casinoplus.live/images/cpms/pp/mobile/vs20sugarnudge.webp","images/PP__Sugar_Supreme_Powernudge__136.webp"
"137","Wild West Gold","PP","139","Slots","https://cp-images.casinoplus.live/images/cpms/pp/mobile/vs40wildwest.webp","images/PP__Wild_West_Gold__137.webp"
"138","Fengshen","JILI","140","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/38.webp","images/JILI__Fengshen__138.webp"
